Salon Name,Address,Closing Time
Glue by Hely,"Viale Stefano Franscini 23, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Hair Studio Idea Donna,"Viale Cassone 7, 6963 Pregassona"," Open
 – Closes in 2 hours"
Hair Team 3,"Piazza Cioccaro 12, 6900 Lugano",
Ivana Salone SA,"Via Trevano 11, 6900 Lugano",
Karma of beauty,"Riva Antonio Caccia 1, 6900 Lugano",
Lakshmi hairstyling,"Riva Antonio Caccia 3, 6900 Lugano"," Open by appointment
 – Closes today at 6:30 PM"
Linea R Coiffure,"Via del Tiglio 33, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Luisella Hair Studio,"Via Tesserete 7, 6900 Massagno"," Open
 – Closes today at 6:00 PM"
Mary,"Via Mons. Angelo Jelmini 5A, 6900 Lugano",
Massimo,"Via Ernesto Bosia 17, 6900 Paradiso"," Closed
 – Opens in 55 minutes"
Matt's Barber Shop,"Via Pretorio 19, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Mauri James,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
my space by Elisa,"Via Ernesto Bosia 11, 6900 Paradiso"," Open
 – Closes today at 5:00 PM"
Old Style,"Corso Elvezia 7, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Oliveira Ines Rozania,"Via Zorzi 6, 6900 Paradiso"," Open
 – Closes today at 6:00 PM"
Orchidea,"Via San Gottardo 74, 6900 Massagno"," Closed
 – Opens in an hour"
Park Line,"Riva Antonio Caccia 1, 6900 Lugano",
PRIMACLASSE,"Via Pietro Peri 6, 6900 Lugano",
Pura Bellezza,"Via la Santa 17, 6962 Viganello",
Salone Alessia,"Via Trevano 71, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone Belli e Ribelli Sagl,"Viale Giuseppe Cattori 5A, 6900 Paradiso",
Salone Lorenzo,"Via al Forte 2, 6900 Lugano",
Salone Marlene,"Corso Pestalozzi 25, 6900 Lugano",
Salone Naiade,"Viale Castagnola 21E, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone Ova,"Via Lisano 2, 6900 Massagno",
Salone Pink,"Viale Castagnola 21a, 6900 Lugano"," Open
 – Closes today at 5:30 PM"
Salone Silvana,"Via Ginevra 5, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Salone Smeraldo,"Salita M. e A. Chiattone 7, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone Trend,"Via Emilio Bossi 1, 6900 Lugano"," Open
 – Closes today at 5:30 PM"
Salone Veriza,"Via Trevano 2, 6900 Lugano",
SaloneTerry Sagl,"Via Industria 20, 6963 Pregassona",
Salvatore,"Riva Paradiso 4, 6900 Paradiso",
Spina Carmelo,"Via Clemente Maraini 14A, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Un'Idea,"Via Bottogno 2, 6962 Viganello",
Serenity & Beauty di Greta Tinelli,"Via Cantonale 29, 6815 Melide"," Open by appointment
 – Closes today at 7:00 PM"
Tocco Magico Coiffure - parrucchiere Bellinzona,"Via Camminata 6, 6500 Bellinzona"," Open
 – Closes today at 6:30 PM"
Maraini Coiffure,"Via Massagno 32, 6900 Lugano",
Friends Parrucchieri,"Via Carlo Frasca, 6900 Lugano",
Lo scalpo di Jade Mara,"Via Beltramina 8, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
MVE Hair Boutuque,"Via Sorengo 9, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
