qid,docid,docno,rank,score,query
1,1229,1229,240,-1.7591685478339105,Hairdresser Lugano
1,1231,1231,241,-1.7591685478339105,Hairdresser Lugano
1,1258,1258,242,-1.7591685478339105,Hairdresser Lugano
1,1270,1270,243,-1.7591685478339105,Hairdresser Lugano
1,1309,1309,244,-1.7591685478339105,Hairdresser Lugano
1,1328,1328,245,-1.7591685478339105,Hairdresser Lugano
1,1349,1349,246,-1.7591685478339105,Hairdresser Lugano
1,1359,1359,247,-1.7591685478339105,Hairdresser Lugano
1,1398,1398,248,-1.7591685478339105,Hairdresser Lugano
1,1414,1414,249,-1.7591685478339105,Hairdresser Lugano
1,1439,1439,250,-1.7591685478339105,Hairdresser Lugano
1,1511,1511,251,-1.7591685478339105,Hairdresser Lugano
1,1580,1580,252,-1.7591685478339105,Hairdresser Lugano
1,1594,1594,253,-1.7591685478339105,Hairdresser Lugano
1,1611,1611,254,-1.7591685478339105,Hairdresser Lugano
1,1641,1641,255,-1.7591685478339105,Hairdresser Lugano
1,1644,1644,256,-1.7591685478339105,Hairdresser Lugano
1,1676,1676,257,-1.7591685478339105,Hairdresser Lugano
1,1678,1678,258,-1.7591685478339105,Hairdresser Lugano
1,1698,1698,259,-1.7591685478339105,Hairdresser Lugano
1,1715,1715,260,-1.7591685478339105,Hairdresser Lugano
1,1721,1721,261,-1.7591685478339105,Hairdresser Lugano
1,1914,1914,262,-1.7591685478339105,Hairdresser Lugano
1,2310,2310,263,-1.7591685478339105,Hairdresser Lugano
1,2330,2330,264,-1.7591685478339105,Hairdresser Lugano
1,2905,2905,265,-1.7591685478339105,Hairdresser Lugano
1,8,8,266,-1.8080066056359774,Hairdresser Lugano
1,46,46,267,-1.8080066056359774,Hairdresser Lugano
1,48,48,268,-1.8080066056359774,Hairdresser Lugano
1,54,54,269,-1.8080066056359774,Hairdresser Lugano
1,74,74,270,-1.8080066056359774,Hairdresser Lugano
1,79,79,271,-1.8080066056359774,Hairdresser Lugano
1,108,108,272,-1.8080066056359774,Hairdresser Lugano
1,115,115,273,-1.8080066056359774,Hairdresser Lugano
1,148,148,274,-1.8080066056359774,Hairdresser Lugano
1,164,164,275,-1.8080066056359774,Hairdresser Lugano
1,172,172,276,-1.8080066056359774,Hairdresser Lugano
1,173,173,277,-1.8080066056359774,Hairdresser Lugano
1,184,184,278,-1.8080066056359774,Hairdresser Lugano
1,197,197,279,-1.8080066056359774,Hairdresser Lugano
1,203,203,280,-1.8080066056359774,Hairdresser Lugano
1,210,210,281,-1.8080066056359774,Hairdresser Lugano
1,242,242,282,-1.8080066056359774,Hairdresser Lugano
1,254,254,283,-1.8080066056359774,Hairdresser Lugano
1,255,255,284,-1.8080066056359774,Hairdresser Lugano
1,261,261,285,-1.8080066056359774,Hairdresser Lugano
1,270,270,286,-1.8080066056359774,Hairdresser Lugano
1,276,276,287,-1.8080066056359774,Hairdresser Lugano
1,289,289,288,-1.8080066056359774,Hairdresser Lugano
1,358,358,289,-1.8080066056359774,Hairdresser Lugano
1,361,361,290,-1.8080066056359774,Hairdresser Lugano
1,371,371,291,-1.8080066056359774,Hairdresser Lugano
1,384,384,292,-1.8080066056359774,Hairdresser Lugano
1,397,397,293,-1.8080066056359774,Hairdresser Lugano
